CZ-NUTS3,nazev_kraje,total_population,male_population,female_population
CZ010,Hlavní město Praha,1335084,653654,681430
CZ020,Středočeský kraj,1397997,691986,706011
CZ031,Jihočeský kraj,643551,318048,325503
CZ032,Plzeňský kraj,591041,293818,297223
CZ041,Karlovarský kraj,293311,145013,148298
CZ042,Ústecký kraj,817004,405277,411727
CZ051,Liberecký kraj,442476,217847,224629
CZ052,Královéhradecký kraj,550803,271680,279123
CZ053,Pardubický kraj,522856,259789,263067
CZ063,Kraj Vysočina,508852,253153,255699
CZ064,Jihomoravský kraj,1195327,587462,607865
CZ071,Olomoucký kraj,630522,308718,321804
CZ072,Zlínský kraj,580119,284585,295534
CZ080,Moravskoslezský kraj,1192834,584073,608761
